.\Images\Safety_Helmet\helmet_resized\1.jpg 1 0 0 19 18
.\Images\Safety_Helmet\helmet_resized\10.jpg 1 0 0 19 18
.\Images\Safety_Helmet\helmet_resized\11.jpg 1 0 0 19 18
.\Images\Safety_Helmet\helmet_resized\12.jpg 1 1 1 21 18
.\Images\Safety_Helmet\helmet_resized\13.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\14.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\15.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\16.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\17.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\18.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\19.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\2.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\20.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\3.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\4.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\5.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\6.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\7.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\8.jpg 1 18 17 2 1
.\Images\Safety_Helmet\helmet_resized\9.jpg 1 18 17 2 1
